iter	MAPE	MAE
0	0.9607498446	47601209.27
1	0.9296325901	46569143.79
2	0.8992265729	45663730.92
3	0.8667639171	44557556.13
4	0.8340793408	43737104.87
5	0.8067526431	42706697.09
6	0.7804103358	41787169.25
7	0.7555499509	40950780.62
8	0.7308339531	40017544.39
9	0.7070710743	39327826.12
10	0.6846989726	38611503.87
11	0.6647194832	37913957.28
12	0.6454820285	37244685.44
13	0.6261742565	36499843.75
14	0.6066541595	35965073.42
15	0.5884172054	35450309.63
16	0.5721102948	34838766.72
17	0.5554223669	34288546.74
18	0.5393672486	33724551.2
19	0.5232584034	33256430.54
20	0.5073407217	32758005.95
21	0.4921530618	32293072.17
22	0.4761496922	31758077.43
23	0.4627200551	31387379.84
24	0.4496578741	30981621.05
25	0.4376708638	30644477.82
26	0.4254968088	30293807.66
27	0.4157616098	29685593.32
28	0.4039647204	29039576.13
29	0.3933248845	28615840.97
30	0.3832894123	28193358.49
31	0.3740076227	27822466.33
32	0.3646711355	27400569.2
33	0.3557394305	27122969.61
34	0.3455869111	26569413
35	0.3370012639	26191622.8
36	0.3325274178	25974807.95
37	0.3259671166	25698144.91
38	0.3193948441	25431064.69
39	0.3142291067	25188311.02
40	0.3068468239	24766087.92
41	0.3006731731	24467651.73
42	0.2958479115	24228321.11
43	0.2906567946	23985140.81
44	0.2840984872	23642932.96
45	0.2786615777	23356653.44
46	0.2737022252	22964396.66
47	0.2686969929	22688888.21
48	0.2642488099	22410120.36
49	0.2609480732	22245864.04
50	0.2563014063	21918967.07
51	0.2526522559	21715264.32
52	0.2483711628	21421048.98
53	0.2469876301	21331572.32
54	0.2426297616	21019820.53
55	0.2386995542	20653887.97
56	0.2349990274	20320088.83
57	0.2330875696	20219313.05
58	0.2296793675	19939617.78
59	0.2274244173	19788545.05
60	0.2245743576	19507558.85
61	0.2226947744	19418064.48
62	0.2199848426	19123927.29
63	0.2173106021	18821559.28
64	0.2148034025	18569591.66
65	0.2129933625	18459484.19
66	0.210843564	18257455.28
67	0.2095876092	18177084.54
68	0.2076111975	17981772.64
69	0.2051329673	17708217.3
70	0.203189906	17559116.11
71	0.2018240797	17438090.76
72	0.1999584916	17205183.59
73	0.1980559262	16968386.71
74	0.1962512395	16775942.44
75	0.1945170782	16563219.37
76	0.1929374095	16328691.41
77	0.1919039019	16220710.27
78	0.1905735949	16002545.8
79	0.1888184503	15810261.22
80	0.187666516	15724630.87
81	0.1865402137	15629874.21
82	0.1851825607	15444757.91
83	0.1842400771	15341051.14
84	0.1831090069	15200833.78
85	0.1818351627	15028114.31
86	0.1806080453	14873195.73
87	0.1795784365	14709741.13
88	0.1781660477	14530530.69
89	0.1768389803	14426147.53
90	0.1761257637	14328982.5
91	0.1754519816	14247660.76
92	0.1746810603	14134899.89
93	0.1737228332	13982559.05
94	0.1727512423	13904324.15
95	0.1721903051	13833786.13
96	0.1712628272	13781943.63
97	0.1701079335	13612121.58
98	0.1692962196	13458170.74
99	0.1686394072	13334196.26
100	0.1680458233	13263489.69
101	0.1672964229	13147072.9
102	0.1667124095	13057057.41
103	0.1657309064	12927612.45
104	0.1651495106	12889156.12
105	0.1646349212	12795725.33
106	0.1643727195	12781507.82
107	0.163759934	12718862.43
108	0.1634609704	12650997.26
109	0.1628057983	12539740.04
110	0.1622762057	12460694.97
111	0.1617974909	12372932.46
112	0.1615109914	12301106.45
113	0.1610521844	12231226.26
114	0.1605346696	12157911.65
115	0.1600038929	12091332.42
116	0.1593531986	12029230.55
117	0.1588598909	11959851.03
118	0.1582753443	11893548.9
119	0.1578766026	11819657.99
120	0.1573335542	11741521.36
121	0.1568771872	11694579.38
122	0.1564602341	11632400.19
123	0.1560948866	11612497.11
124	0.155798996	11552188.07
125	0.1552857355	11499621.58
126	0.1549016782	11413458.82
127	0.1546442429	11388729.76
128	0.1541042547	11325366.42
129	0.1538419493	11316534.85
130	0.1535755499	11302434.17
131	0.1530163098	11242324.31
132	0.1524153021	11212822.07
133	0.1520596373	11166934.35
134	0.1517715524	11121647.29
135	0.1514511104	11105886.24
136	0.1511615232	11060410.56
137	0.1508051359	11025862.19
138	0.1504230014	10992464.35
139	0.1500485701	10966675.19
140	0.1497832502	10934545.61
141	0.1494925187	10894962.89
142	0.1491099446	10842190.44
143	0.1487098902	10793112.42
144	0.148454127	10768596.24
145	0.1478307135	10721929.77
146	0.1475977547	10681036.42
147	0.1471907303	10633920.4
148	0.1467200655	10595547.16
149	0.1463114727	10559026.76
150	0.1457901533	10513895.13
151	0.1452793268	10471130.9
152	0.1449403406	10425047.86
153	0.1445874694	10416235.38
154	0.1442095826	10384915.65
155	0.1438849253	10344883.93
156	0.1436890599	10333646.71
157	0.1432842227	10288168.17
158	0.1429979894	10249589.54
159	0.1427390645	10226732.32
160	0.142459917	10189344.72
161	0.1421908438	10166319.48
162	0.1417636838	10101046.88
163	0.1414936019	10060521.61
164	0.1411627692	10039936.86
165	0.1406852881	9966538.221
166	0.1403972453	9932687.358
167	0.1399985297	9880170.626
168	0.1397678926	9866881.875
169	0.1393940644	9836529.914
170	0.139206767	9831247.792
171	0.1389774221	9818014.266
172	0.1386088199	9790304.941
173	0.1381978991	9747072.284
174	0.1380474437	9719415.459
175	0.1378792674	9704839.286
176	0.1375775196	9679296.821
177	0.1373327381	9662658.738
178	0.1370785939	9615398.522
179	0.136828762	9596337.864
180	0.1366640964	9589900.34
181	0.136403551	9557049.967
182	0.1359009386	9507031.215
183	0.1356922614	9483118.924
184	0.135325836	9467182.321
185	0.1349960387	9438605.56
186	0.1347352524	9433079.479
187	0.1344744399	9424764.455
188	0.1341860318	9399376.847
189	0.1338913787	9391056.136
190	0.1336953425	9383414.645
191	0.1333148741	9368204.48
192	0.1331479967	9344507.601
193	0.1328678462	9332702.092
194	0.1327273671	9316560
195	0.1325570892	9299456.374
196	0.1322516108	9278068.19
197	0.1320519627	9265701.466
198	0.131897562	9259293.772
199	0.1317793311	9255105.94
200	0.1316079227	9247675.741
201	0.1312793481	9218512.737
202	0.1311228907	9213802.852
203	0.1307753633	9205781.519
204	0.1305619901	9200500.354
205	0.1302362953	9187430.049
206	0.1299378635	9146179.908
207	0.1297144605	9139146.803
208	0.1293913773	9130395.699
209	0.1288626861	9078432.335
210	0.1286480683	9073038.416
211	0.1284084681	9065293.429
212	0.128131476	9037406.378
213	0.1280413896	9029252.692
214	0.1277520657	8989356.109
215	0.1275724008	8970645.91
216	0.1273501152	8958693.911
217	0.1272795494	8956309.706
218	0.1269726454	8938105.413
219	0.1265301805	8920250.553
220	0.1263501394	8899002.27
221	0.1259438003	8840766.055
222	0.1256323745	8823326.826
223	0.1253527754	8809920.461
224	0.1252132024	8799064.034
225	0.1251297888	8793011.047
226	0.1249026531	8770608.838
227	0.1246041837	8731012.029
228	0.1244186673	8713695.235
229	0.1242587949	8709434.62
230	0.1240688801	8702352.874
231	0.1238049575	8671768.091
232	0.1236257599	8653981.875
233	0.1229974478	8604382.939
234	0.1227902479	8599381.074
235	0.122626152	8590980.408
236	0.1225097729	8585191.432
237	0.1223049154	8577960.528
238	0.1219746799	8553758.203
239	0.1218014678	8549751.65
240	0.1219092633	8543762.821
241	0.1217123282	8535977.298
242	0.1213544891	8509831.261
243	0.1212456852	8487883.694
244	0.1210701189	8472127.406
245	0.120811971	8463067.224
246	0.120478683	8447576.345
247	0.1202728158	8442724.897
248	0.1200707169	8427494.557
249	0.1199124882	8422544.834
250	0.1197075556	8391199.089
251	0.1196130434	8376341.354
252	0.119554219	8372415.863
253	0.1192322252	8342354.856
254	0.1188733822	8302994.548
255	0.1186809508	8290492.111
256	0.1186054734	8278714.017
257	0.1184479673	8262128.383
258	0.1182869911	8259723.197
259	0.1180016924	8247072.267
260	0.1178150075	8239735.337
261	0.1176263426	8232332.462
262	0.1173992094	8204584.034
263	0.1172085012	8187947.629
264	0.1170923864	8182021.987
265	0.1168691927	8162938.75
266	0.1167597054	8160200.126
267	0.116567461	8155752.682
268	0.1162746272	8142308.06
269	0.1161468942	8131032.35
270	0.1160645374	8121015.092
271	0.1159575882	8098660.626
272	0.1158179572	8085167.137
273	0.1155074593	8036734.083
274	0.1153785488	8020101.381
275	0.1152859904	8007578.284
276	0.1150366901	7982339.596
277	0.1148741836	7970815.268
278	0.1147909553	7967702.395
279	0.1146639359	7959608.117
280	0.1145720065	7950885.888
281	0.114383528	7946290.995
282	0.1141715794	7942870.76
283	0.114048503	7931581.638
284	0.1137876633	7920468.754
285	0.1136538325	7909546.481
286	0.1133918371	7897524.384
287	0.1130741568	7891277.104
288	0.112764235	7879187.49
289	0.1124864672	7868671.01
290	0.1122835801	7865653.998
291	0.1120390536	7856010.438
292	0.1118405672	7832363.793
293	0.1116445436	7825355.207
294	0.1114150681	7810671.801
295	0.1111652966	7795343.987
296	0.1109704706	7784238.808
297	0.1107695356	7772608.376
298	0.1105437983	7752209.577
299	0.1103243545	7738106.588
300	0.1102652437	7732883.604
301	0.1101791578	7726619.033
302	0.110054878	7711185.601
303	0.1099819708	7702990.032
304	0.1097452591	7689760.86
305	0.1096411244	7681102.01
306	0.1093827329	7669706.754
307	0.1092210953	7663755.591
308	0.1091397702	7653548.199
309	0.1089746129	7641501.881
310	0.1087142192	7619753.985
311	0.108547092	7616736.188
312	0.1083935966	7611982.081
313	0.1082483847	7599150.456
314	0.1081450217	7593402.126
315	0.1078434798	7583566.902
316	0.1075748758	7574686.917
317	0.1074327541	7570911.71
318	0.1072755364	7558592.163
319	0.107201959	7550329.436
320	0.1069802759	7536586.79
321	0.1067719837	7519440.329
322	0.1066191887	7511664.862
323	0.1063975419	7507686.607
324	0.1061614112	7501319.881
325	0.1060630121	7499443.612
326	0.1059688066	7494099.972
327	0.1057487984	7479927.545
328	0.1055609669	7474395.302
329	0.1054025648	7467293.153
330	0.1052792408	7464415.926
