iter	MAPE	MAE
0	0.9616480736	47506470.25
1	0.9295559003	46380499.72
2	0.8998700227	45509559.43
3	0.8672167299	44429027.11
4	0.835890328	43625224.67
5	0.8083619132	42905254.42
6	0.7829308711	42049980.76
7	0.7584976099	41235146.79
8	0.7353743473	40301793.33
9	0.7113323577	39567755.49
10	0.6895042979	38856652.98
11	0.6695923433	38178622.23
12	0.6498221217	37521696.59
13	0.6315290595	36805165.78
14	0.6113348423	36276447.78
15	0.5936943316	35743568.29
16	0.5783659672	35183255.81
17	0.5614309794	34628358.84
18	0.5436077047	34081607.66
19	0.5269981802	33582627.4
20	0.5146908789	33081762.92
21	0.4995644175	32613598.3
22	0.4883087797	32202746.97
23	0.4736761405	31759594.24
24	0.4601253237	31326741.36
25	0.4500667265	30918302.75
26	0.4376404196	30569905.36
27	0.4268848112	29897870.56
28	0.4148810107	29454124.48
29	0.4050474531	29095510.84
30	0.3944076138	28576426.66
31	0.3838015561	28092898.45
32	0.3750373482	27769283.67
33	0.365557463	27380709.53
34	0.3560661529	26907403.09
35	0.347128876	26536367.41
36	0.3395592767	26307897.47
37	0.3313253105	25813872.31
38	0.322665133	25350405.69
39	0.3166299115	25112679.6
40	0.3102240313	24849597.59
41	0.304802603	24580649.48
42	0.2990175806	24269911.33
43	0.2963242339	24095083.25
44	0.2898790689	23829669.85
45	0.2848523561	23578936.78
46	0.2794235836	23287924.65
47	0.2742487837	22970273.27
48	0.2703541423	22808009.82
49	0.2671096365	22663797.62
50	0.2623800277	22340647.58
51	0.2578861186	22077421.74
52	0.2532005787	21782345.7
53	0.2514858318	21675443.41
54	0.2480045294	21493902.2
55	0.2437673104	21230312.32
56	0.2398324623	20862416.06
57	0.2377337256	20773410.8
58	0.2328188965	20403577.04
59	0.229718494	20196951.58
60	0.2267891676	19906034.92
61	0.2240075409	19698289.1
62	0.2202976707	19349183.38
63	0.2171151463	19073449.17
64	0.2142038582	18739245.36
65	0.2118030681	18565565.35
66	0.2099338832	18447616.82
67	0.2107591238	18356419.27
68	0.2079722716	18155065.71
69	0.2051530529	17963359.31
70	0.2034495583	17863379.43
71	0.2016983363	17680730.36
72	0.1996433848	17443611.69
73	0.1974042812	17256199.99
74	0.1953185664	17077186.27
75	0.1939229146	16989065.38
76	0.192310277	16801715.85
77	0.1910968671	16678204.66
78	0.1894364949	16441645.19
79	0.1878344239	16330436.91
80	0.1869177151	16295209.47
81	0.1855751407	16102779.97
82	0.1839772404	15870839.53
83	0.1825773628	15695764.8
84	0.1814720749	15597539.38
85	0.1796240919	15397149.01
86	0.1777747538	15152482.49
87	0.1760757035	14937521.16
88	0.1745765898	14725684.34
89	0.173117782	14539874.4
90	0.1718503288	14387138.66
91	0.1701314017	14171657.26
92	0.168897677	14013462.16
93	0.1675643974	13852542.73
94	0.1667406875	13718969.13
95	0.1659318146	13663023.48
96	0.1652297335	13629205.76
97	0.1638195283	13441228.09
98	0.1625747299	13277170.24
99	0.1614319356	13099539.08
100	0.1608932234	13058058.91
101	0.1595415357	12902145.03
102	0.1584111119	12739707.13
103	0.1571110961	12600840.21
104	0.156414375	12488611.4
105	0.1556902267	12376867.41
106	0.1550383857	12357053.57
107	0.1541661697	12262473.34
108	0.1535570966	12149904.33
109	0.1526822865	12066672.58
110	0.1516770291	11920475.79
111	0.1506675091	11875720.21
112	0.1498516492	11760518.42
113	0.1491440956	11669827.79
114	0.1481417528	11534315.83
115	0.1475444929	11456836.63
116	0.147045865	11361409.02
117	0.1461672373	11270994.45
118	0.1455268568	11232890.95
119	0.1445817116	11113585.31
120	0.14367177	10995289.51
121	0.1428562972	10898762.33
122	0.1424465267	10873450.68
123	0.142047012	10857636.09
124	0.1413393918	10760222.6
125	0.1407106745	10735999.61
126	0.1400302009	10633885.27
127	0.1389644328	10530275.48
128	0.1384151098	10461937.36
129	0.1379594278	10441613.89
130	0.1375649342	10429031.6
131	0.1371201497	10350304.53
132	0.1366168625	10262950.06
133	0.136049544	10189263.88
134	0.1357338567	10172954.35
135	0.1352374064	10105570.26
136	0.134666343	10031512.41
137	0.1338942512	9941370.641
138	0.1335677021	9891599.086
139	0.132989882	9866652.185
140	0.1326280109	9810919.796
141	0.1322975436	9757560.28
142	0.1316913227	9700620.108
143	0.1311755976	9635455.648
144	0.130588657	9566792.65
145	0.1299770247	9545619.41
146	0.1296584247	9493640.293
147	0.1290518661	9410861.606
148	0.1287247464	9365722.259
149	0.1281734568	9353082.397
150	0.1276718128	9282371.143
151	0.1274776937	9235695.542
152	0.1271728107	9226124.961
153	0.126753625	9171609.749
154	0.1262079564	9126319.273
155	0.1258433378	9096715.839
156	0.1254334207	9043540.724
157	0.1248121756	8965202.794
158	0.1243687637	8897634.833
159	0.1240836375	8865791.996
160	0.1235547703	8817266.306
161	0.1231266792	8778288.157
162	0.1226633405	8721385.758
163	0.1222362132	8671296.408
164	0.1218349232	8632072.543
165	0.1215775637	8605888.904
166	0.1212333407	8564000.713
167	0.1208376737	8529030.32
168	0.1206528018	8507001.508
169	0.1203581514	8493534.491
170	0.1201114083	8462554.005
171	0.1197999372	8434980.568
172	0.1194805439	8425157.776
173	0.1190909918	8391174.068
174	0.1187236586	8367540.229
175	0.1184469742	8359672.115
176	0.1181324295	8321096.724
177	0.117705017	8280827.8
178	0.1173374197	8225171.982
179	0.1172404716	8209445.603
180	0.116953181	8172887.689
181	0.1166272973	8133143.52
182	0.1164523271	8109361.587
