iter	Passed	Remaining
0	3	5697
1	6	4804
2	8	4471
3	11	4240
4	13	3991
5	15	3831
6	17	3801
7	20	3733
8	22	3686
9	24	3687
10	27	3681
11	29	3610
12	31	3580
13	33	3571
14	35	3517
15	37	3452
16	39	3407
17	40	3363
18	42	3329
19	44	3282
20	45	3239
21	48	3254
22	50	3261
23	52	3237
24	54	3224
25	56	3203
26	58	3209
27	61	3222
28	63	3211
29	64	3139
30	66	3139
31	68	3119
32	69	3109
33	72	3132
34	75	3141
35	76	3128
36	78	3120
37	80	3112
38	82	3104
39	84	3088
40	86	3070
41	88	3081
42	90	3080
43	92	3066
44	94	3049
45	96	3047
46	98	3052
47	100	3047
48	102	3038
49	104	3031
50	106	3020
51	107	3006
52	109	2993
53	111	2982
54	113	2985
55	115	2977
56	117	2978
57	119	2972
58	121	2972
59	123	2961
60	125	2958
61	127	2947
62	129	2954
63	131	2951
64	133	2951
65	135	2948
66	137	2939
67	139	2933
68	141	2932
69	143	2928
70	145	2924
71	147	2917
72	148	2907
73	151	2916
74	154	2939
75	157	2945
76	159	2942
77	161	2947
78	163	2946
79	165	2936
80	167	2940
81	169	2935
82	171	2927
83	173	2928
84	176	2932
85	178	2927
86	179	2923
87	181	2915
88	184	2923
89	186	2928
90	189	2929
91	191	2934
92	193	2930
93	195	2929
94	197	2921
95	199	2922
96	201	2915
97	204	2918
98	206	2929
99	208	2921
100	210	2916
101	212	2908
102	214	2909
103	216	2905
104	218	2903
105	220	2895
106	222	2895
107	224	2892
108	226	2888
109	228	2882
110	230	2879
111	232	2875
112	233	2869
113	235	2867
114	238	2868
115	240	2866
116	241	2859
117	243	2856
118	245	2852
119	247	2849
120	249	2848
121	252	2848
122	253	2841
123	255	2836
124	257	2833
125	259	2834
126	262	2836
127	264	2839
128	266	2835
129	269	2839
130	271	2839
131	273	2834
132	275	2832
133	277	2829
134	279	2827
135	281	2825
136	283	2818
137	284	2812
138	287	2816
139	289	2815
140	291	2813
141	294	2815
142	296	2814
143	298	2808
144	300	2804
145	302	2803
146	303	2797
147	305	2791
148	307	2786
149	309	2781
150	311	2779
151	312	2774
152	314	2772
153	316	2770
154	319	2773
155	321	2772
156	323	2770
157	325	2766
158	327	2763
159	329	2760
160	331	2754
161	332	2749
162	334	2746
163	336	2743
164	338	2741
165	340	2735
166	342	2736
167	344	2730
168	346	2726
169	348	2724
170	350	2724
171	352	2720
172	354	2716
173	355	2711
174	357	2707
175	359	2704
176	361	2699
177	362	2694
178	364	2691
179	366	2687
180	368	2682
181	369	2679
182	371	2675
183	373	2672
184	375	2668
185	377	2663
186	378	2660
187	380	2657
188	383	2656
189	385	2658
190	387	2653
191	389	2655
192	391	2653
193	394	2653
194	396	2652
195	399	2656
196	401	2652
197	402	2649
198	404	2646
199	406	2644
200	408	2638
201	409	2634
202	412	2632
203	413	2628
204	415	2626
205	418	2630
206	420	2628
207	423	2629
208	425	2625
209	427	2624
210	429	2624
211	432	2626
212	434	2623
213	436	2622
214	438	2620
215	440	2616
216	442	2615
217	444	2616
218	447	2614
219	449	2613
220	451	2611
221	453	2609
222	455	2606
223	457	2605
224	459	2602
225	461	2599
226	462	2595
227	464	2592
228	466	2588
229	468	2588
230	471	2587
231	472	2584
232	474	2581
233	476	2578
234	478	2576
235	480	2572
236	482	2568
237	483	2564
238	486	2564
239	488	2562
240	490	2562
241	493	2564
242	495	2562
243	497	2563
244	500	2564
245	503	2567
246	506	2567
247	507	2563
248	510	2564
249	512	2564
250	514	2561
251	516	2559
252	518	2556
253	520	2553
254	522	2549
255	523	2546
256	526	2546
257	528	2543
258	530	2540
259	531	2536
260	533	2533
261	535	2532
262	538	2532
263	540	2530
264	542	2527
265	544	2524
266	546	2522
267	548	2520
268	550	2518
269	552	2515
270	554	2513
271	556	2510
272	557	2507
273	559	2504
274	561	2502
275	564	2502
276	565	2498
277	568	2496
278	569	2493
279	571	2490
280	574	2491
281	576	2489
282	578	2487
283	580	2485
284	582	2481
285	584	2480
286	586	2478
287	588	2474
288	590	2473
289	592	2470
290	593	2466
291	595	2465
292	598	2465
293	600	2462
294	602	2459
295	604	2458
296	606	2455
297	608	2453
298	609	2449
299	612	2448
300	614	2446
301	616	2443
302	617	2440
303	620	2439
304	622	2438
305	623	2434
306	625	2432
307	628	2430
308	630	2429
309	632	2428
310	634	2426
311	636	2423
312	638	2421
313	640	2418
314	642	2415
315	644	2414
316	646	2412
317	648	2410
318	650	2407
319	652	2405
320	654	2404
321	656	2401
322	658	2398
323	660	2397
324	662	2395
325	664	2394
326	666	2392
327	669	2391
328	671	2391
329	673	2389
330	676	2388
331	678	2385
332	680	2384
333	682	2383
334	685	2382
335	687	2380
336	689	2378
337	692	2379
338	694	2376
339	696	2374
340	698	2373
341	700	2371
342	702	2370
343	705	2369
344	707	2367
345	709	2367
346	712	2367
347	714	2364
348	716	2363
349	718	2360
350	720	2358
351	722	2356
352	724	2354
353	726	2351
354	728	2350
355	730	2348
356	733	2347
357	735	2346
358	737	2344
359	739	2342
360	741	2339
361	743	2337
362	745	2335
363	747	2332
364	749	2329
365	751	2327
366	752	2324
367	754	2322
368	756	2319
369	758	2316
370	760	2315
371	763	2315
372	765	2312
373	767	2309
374	768	2306
375	770	2304
376	773	2304
377	775	2302
378	777	2299
379	779	2297
380	781	2294
381	782	2291
382	784	2288
383	786	2285
384	788	2283
385	790	2281
386	792	2278
