iter	Passed	Remaining
0	2	4007
1	5	3757
2	7	3638
3	9	3709
4	12	3637
5	14	3571
6	16	3613
7	19	3569
8	21	3560
9	23	3518
10	26	3528
11	28	3485
12	30	3514
13	33	3531
14	35	3561
15	38	3557
16	40	3531
17	43	3569
18	45	3531
19	47	3528
20	50	3542
21	52	3511
22	54	3497
23	56	3505
24	59	3516
25	61	3485
26	63	3474
27	64	3414
28	67	3405
29	69	3408
30	72	3459
31	75	3477
32	78	3483
33	80	3486
34	83	3475
35	84	3456
36	87	3451
37	90	3484
38	92	3479
39	95	3469
40	97	3477
41	99	3461
42	101	3455
43	104	3467
44	106	3456
45	109	3445
46	110	3429
47	113	3418
48	114	3401
49	116	3390
50	119	3394
51	121	3387
52	123	3378
53	126	3383
54	129	3390
55	130	3374
56	132	3365
57	135	3359
58	137	3349
59	138	3335
60	140	3323
61	143	3320
62	145	3317
63	147	3313
64	149	3305
65	152	3310
66	154	3305
67	156	3305
68	159	3312
69	162	3322
70	164	3315
71	167	3318
72	170	3329
73	172	3330
74	176	3354
75	178	3353
76	182	3364
77	184	3362
78	186	3352
79	189	3358
80	192	3370
81	195	3381
82	198	3393
83	201	3394
84	203	3392
85	206	3398
86	209	3399
87	211	3395
88	214	3404
89	217	3406
90	220	3407
91	222	3407
92	225	3406
93	227	3401
94	230	3411
95	232	3404
96	235	3409
97	238	3405
98	241	3416
99	243	3412
100	246	3411
101	248	3412
102	251	3409
103	253	3402
104	255	3400
105	258	3393
106	260	3385
107	262	3379
108	264	3371
109	266	3362
110	268	3359
111	270	3356
112	272	3350
113	275	3348
114	277	3343
115	280	3341
116	281	3333
117	284	3331
118	287	3331
119	289	3323
120	291	3325
121	293	3320
122	295	3313
123	298	3308
124	301	3313
125	304	3315
126	306	3308
127	308	3301
128	310	3297
129	312	3289
130	314	3283
131	316	3276
132	318	3275
133	321	3272
134	323	3269
135	325	3268
136	328	3264
137	330	3258
138	331	3250
139	334	3247
140	336	3241
141	338	3234
142	340	3230
143	343	3235
144	345	3229
145	347	3222
146	350	3221
147	352	3217
148	354	3217
149	357	3213
150	359	3212
151	361	3207
152	363	3203
153	366	3204
154	368	3197
155	370	3193
156	373	3191
157	375	3190
158	377	3185
159	379	3182
160	382	3180
161	384	3176
162	387	3175
163	389	3171
164	391	3167
165	393	3162
166	395	3156
167	397	3151
168	399	3147
169	401	3143
170	403	3139
171	406	3137
172	408	3134
173	411	3133
174	413	3131
175	415	3126
176	417	3122
177	420	3125
178	422	3120
179	424	3115
180	426	3111
181	429	3106
182	430	3101
183	432	3096
184	435	3092
185	437	3093
186	439	3088
187	442	3085
188	444	3081
189	446	3080
190	448	3077
191	451	3074
192	454	3075
193	456	3069
194	458	3069
195	460	3065
196	463	3063
197	465	3060
198	467	3057
199	469	3053
200	471	3049
201	474	3049
202	476	3046
203	479	3044
204	481	3039
205	483	3038
206	485	3034
207	488	3033
208	490	3030
209	493	3028
210	495	3024
211	497	3020
212	499	3017
213	502	3017
214	504	3014
215	506	3011
216	509	3012
217	511	3010
218	513	3005
219	515	3000
220	517	2997
221	520	2996
222	522	2993
223	525	2991
224	527	2987
225	529	2986
226	531	2982
227	534	2983
228	537	2982
229	540	2983
230	542	2979
231	544	2975
232	547	2975
233	549	2972
234	551	2967
235	553	2964
236	556	2965
237	558	2962
238	560	2957
239	562	2953
240	565	2953
241	567	2950
242	569	2945
243	571	2941
244	573	2938
245	575	2933
246	577	2928
247	579	2923
248	581	2922
249	583	2917
250	585	2913
251	587	2911
252	590	2912
253	592	2908
254	595	2905
255	597	2904
256	600	2904
257	602	2902
258	605	2899
259	606	2894
260	608	2890
261	611	2887
262	614	2889
263	616	2887
264	619	2886
265	621	2884
266	623	2880
267	625	2877
268	628	2876
269	630	2873
270	633	2872
271	635	2870
272	638	2871
273	640	2867
274	643	2865
275	645	2862
276	647	2859
277	650	2859
278	652	2856
279	654	2853
280	657	2850
281	659	2847
282	661	2845
283	663	2842
284	666	2841
285	669	2840
286	671	2836
287	673	2833
288	675	2829
289	677	2826
290	679	2824
291	681	2820
292	683	2817
293	685	2813
294	688	2810
295	690	2807
296	692	2806
297	694	2803
298	697	2799
299	699	2799
300	702	2797
301	704	2793
302	706	2792
303	710	2794
304	712	2790
305	714	2787
306	717	2786
307	719	2783
308	721	2782
309	724	2780
310	726	2776
311	728	2772
312	730	2769
313	733	2768
314	735	2765
315	737	2763
316	739	2760
317	741	2756
318	743	2752
319	745	2749
320	749	2753
321	751	2750
322	753	2746
323	756	2745
324	759	2744
325	761	2743
326	764	2743
327	767	2743
328	769	2740
329	772	2738
330	775	2737
331	778	2737
332	780	2736
333	783	2734
334	785	2733
335	788	2732
336	790	2728
337	792	2725
338	795	2723
339	797	2719
340	799	2717
341	801	2714
342	804	2713
343	806	2709
344	808	2706
345	810	2704
346	813	2702
347	815	2699
348	817	2696
349	820	2694
350	822	2692
351	825	2691
352	827	2688
353	829	2684
354	831	2682
355	834	2680
356	836	2677
357	838	2675
358	840	2671
359	842	2669
360	845	2666
361	846	2662
362	848	2658
363	851	2657
364	853	2654
365	856	2652
366	859	2653
367	861	2650
368	863	2647
369	866	2646
370	869	2645
371	871	2642
372	873	2638
373	875	2636
374	877	2632
375	880	2631
376	882	2628
377	884	2625
378	886	2622
379	888	2619
380	890	2616
381	892	2613
382	895	2610
383	897	2607
384	899	2604
385	901	2601
386	903	2598
387	905	2595
388	907	2593
389	909	2589
390	912	2586
391	914	2583
392	916	2580
393	918	2577
394	920	2573
395	922	2571
396	924	2569
397	927	2566
398	929	2564
399	932	2563
400	933	2559
401	936	2556
402	938	2554
403	941	2554
404	943	2551
405	946	2550
406	949	2548
407	951	2546
408	953	2543
409	956	2541
410	958	2540
411	961	2538
412	963	2536
413	965	2533
414	968	2531
415	971	2530
416	973	2527
417	975	2524
418	977	2521
419	979	2519
420	981	2516
421	983	2513
422	985	2509
423	988	2507
424	990	2504
425	992	2501
426	995	2500
427	997	2497
428	999	2494
429	1002	2493
430	1004	2491
431	1006	2487
432	1008	2484
433	1011	2483
434	1013	2480
435	1015	2477
436	1017	2475
437	1020	2473
438	1022	2470
439	1025	2469
440	1027	2466
441	1029	2463
442	1031	2460
443	1033	2457
444	1035	2454
445	1037	2451
446	1039	2449
447	1041	2446
448	1044	2444
449	1046	2441
450	1048	2438
451	1050	2435
452	1052	2432
453	1054	2430
454	1056	2427
455	1059	2425
456	1061	2422
457	1063	2419
458	1065	2417
459	1068	2415
460	1070	2412
461	1072	2409
462	1074	2406
463	1076	2404
464	1078	2400
465	1081	2399
466	1083	2397
467	1085	2394
468	1088	2391
469	1090	2388
470	1092	2386
471	1094	2382
472	1095	2379
473	1097	2376
474	1100	2375
475	1102	2372
476	1105	2369
477	1107	2368
478	1109	2365
479	1111	2362
480	1114	2360
481	1117	2359
482	1119	2356
483	1121	2354
484	1123	2352
485	1125	2349
486	1128	2347
487	1130	2345
488	1132	2342
489	1135	2340
490	1137	2338
491	1140	2335
492	1141	2332
493	1144	2330
494	1147	2329
495	1149	2325
496	1151	2323
497	1153	2320
498	1155	2317
499	1158	2316
500	1160	2314
501	1162	2312
502	1165	2309
503	1167	2307
504	1170	2305
505	1172	2303
506	1174	2300
507	1176	2297
508	1179	2295
509	1181	2293
510	1183	2290
511	1185	2287
512	1187	2285
513	1189	2282
514	1191	2279
515	1193	2276
516	1196	2274
517	1198	2271
518	1201	2270
519	1203	2268
520	1205	2265
521	1207	2262
522	1210	2260
523	1212	2258
524	1214	2255
525	1216	2253
526	1219	2251
527	1221	2249
528	1224	2246
529	1226	2244
530	1228	2241
531	1230	2239
532	1232	2236
533	1234	2233
534	1236	2231
535	1238	2228
536	1241	2225
537	1243	2223
