iter	Passed	Remaining
0	2	4478
1	5	3988
2	7	3668
3	10	3779
4	12	3770
5	15	3782
6	18	3934
7	20	3877
8	22	3795
9	25	3857
10	28	3855
11	30	3819
12	34	3956
13	37	3944
14	40	4020
15	43	4052
16	46	4056
17	49	4109
18	53	4149
19	55	4136
20	58	4140
21	61	4115
22	64	4141
23	66	4103
24	68	4058
25	71	4060
26	73	4027
27	74	3931
28	77	3917
29	78	3837
30	80	3816
31	82	3796
32	85	3792
33	88	3802
34	90	3807
35	93	3808
36	96	3817
37	98	3804
38	101	3797
39	104	3813
40	106	3806
41	109	3816
42	113	3831
43	115	3814
44	117	3796
45	120	3817
46	123	3803
47	125	3806
48	128	3812
49	130	3795
50	133	3788
51	136	3811
52	139	3816
53	142	3820
54	144	3804
55	146	3789
56	150	3805
57	152	3798
58	155	3787
59	158	3803
60	160	3797
61	163	3782
62	167	3811
63	170	3822
64	173	3838
65	176	3830
66	179	3828
67	183	3855
68	185	3856
69	189	3874
70	192	3866
71	194	3859
72	198	3888
73	201	3880
74	203	3861
75	206	3871
76	208	3861
77	211	3847
78	214	3849
79	215	3832
80	217	3817
81	220	3806
82	221	3788
83	223	3771
84	225	3761
85	227	3747
86	230	3737
87	231	3720
88	233	3704
89	235	3695
90	237	3678
91	239	3665
92	241	3654
93	243	3647
94	246	3638
95	248	3629
96	250	3629
97	253	3625
98	255	3614
99	257	3602
100	259	3592
101	261	3585
102	263	3574
103	265	3563
104	267	3552
105	269	3544
106	269	3513
107	271	3503
108	274	3497
109	276	3493
110	278	3480
111	279	3469
112	282	3466
113	284	3457
114	286	3452
115	288	3442
116	290	3430
117	292	3421
118	294	3415
119	296	3406
120	298	3397
121	300	3395
122	302	3386
123	304	3377
124	306	3367
125	308	3365
126	310	3357
127	312	3350
128	314	3343
129	316	3339
130	318	3333
131	321	3330
132	323	3326
133	325	3318
134	327	3312
135	329	3303
136	331	3300
137	333	3292
138	335	3286
139	337	3277
140	339	3273
141	341	3265
142	343	3256
143	344	3248
144	347	3242
145	349	3240
146	351	3233
147	352	3224
148	355	3219
149	356	3211
150	358	3205
151	360	3199
152	363	3195
153	365	3192
154	367	3187
155	369	3182
156	371	3177
157	373	3175
158	376	3175
159	379	3174
160	381	3170
161	383	3164
162	385	3164
163	387	3159
164	390	3155
165	392	3153
166	394	3146
167	396	3142
168	398	3136
169	400	3133
170	403	3133
171	405	3133
172	408	3130
173	410	3125
174	412	3122
175	414	3119
176	416	3113
177	418	3108
178	420	3106
179	423	3104
180	425	3100
181	428	3099
182	430	3095
183	432	3090
184	433	3084
185	435	3079
186	437	3074
187	440	3071
188	442	3067
189	444	3065
190	446	3060
191	448	3055
192	450	3052
193	453	3050
194	455	3046
195	457	3043
196	459	3040
197	461	3036
198	463	3030
199	466	3029
200	468	3027
201	470	3022
202	472	3020
203	475	3020
204	477	3015
205	479	3010
206	481	3005
207	483	3002
208	485	2997
209	487	2993
210	489	2987
211	491	2984
212	492	2978
213	494	2973
214	496	2969
215	499	2967
216	501	2964
217	503	2959
218	505	2953
219	507	2952
220	509	2948
221	511	2943
222	513	2938
223	515	2934
224	517	2931
225	519	2927
226	521	2922
227	523	2919
228	525	2914
229	527	2911
230	529	2906
231	531	2904
232	533	2902
233	535	2898
234	538	2896
235	540	2893
236	542	2893
237	545	2890
238	547	2889
239	550	2888
240	552	2884
241	553	2879
242	555	2875
243	557	2870
244	559	2868
245	561	2863
246	563	2859
247	566	2858
248	568	2856
249	570	2854
250	572	2850
251	574	2846
252	576	2841
253	578	2837
254	580	2835
255	582	2833
256	584	2828
257	587	2826
258	589	2822
259	591	2819
260	593	2817
261	595	2816
262	598	2813
263	600	2812
264	603	2810
265	605	2806
266	607	2803
267	609	2800
268	611	2797
269	613	2792
270	615	2791
271	617	2788
272	619	2786
