iter	MAPE	MAE
0	0.9568665789	50237197.62
1	0.9249745492	49169831.23
2	0.8938310901	48185329.11
3	0.857033744	46957404.48
4	0.8261715007	45855028.53
5	0.8000863624	44763272.45
6	0.7745083409	43793547.35
7	0.7506751136	42835266.01
8	0.7268337076	41869840.44
9	0.7024607566	41100997.18
10	0.6796726279	40287071.46
11	0.6586193946	39452931.16
12	0.6405939537	38668504.96
13	0.6238027042	37896641.6
14	0.604681114	37325097.17
15	0.5862066874	36738705.07
16	0.5748469477	36082578.2
17	0.5567197714	35464900.52
18	0.5386511803	34816506.43
19	0.5213768629	34109419.57
20	0.5103856351	33628383.8
21	0.4932973818	33052760.54
22	0.4785881877	32532009.25
23	0.4620978632	32043690.52
24	0.4472131699	31549823.94
25	0.4336727821	31094777.68
26	0.4219424412	30654991.49
27	0.4124912182	30076664.41
28	0.4012720218	29516397.44
29	0.3921061582	29107219.23
30	0.3814576491	28584339.86
31	0.370325317	28092524.98
32	0.3620524331	27767907.1
33	0.3526184542	27137746.42
34	0.3432902096	26622589.43
35	0.3347399254	26199582.79
36	0.326550168	25848125.24
37	0.319033018	25295850.47
38	0.3107815715	24757810.23
39	0.3046984365	24491453.74
40	0.2977972027	24200906.64
41	0.2926823036	23878499.35
42	0.287361989	23505245.02
43	0.2837801171	23232118.09
44	0.2787271656	23033859.26
45	0.2737873563	22721426.67
46	0.2681949831	22277968.29
47	0.2624855828	21912941.2
48	0.2568883516	21571044.54
49	0.2531978902	21293988.98
50	0.2480709958	20877784.87
51	0.2432839341	20572333.38
52	0.2397509884	20444706.93
53	0.2389736801	20333940.19
54	0.2348065229	20098234.6
55	0.229817858	19662671.96
56	0.2260560349	19310167.69
57	0.2233731524	19182397.47
58	0.2202388327	18907655.79
59	0.2166632171	18625481.66
60	0.2132736866	18319351.91
61	0.2113314928	18216812.96
62	0.2083550908	17942460.91
63	0.2055687785	17749107.71
64	0.2032353252	17485159.63
65	0.2001507149	17221282.53
66	0.1978889276	17084343.87
67	0.1962034808	17010233.33
68	0.1935468812	16802135.59
69	0.1911712706	16582036.61
70	0.1887843984	16374708.07
71	0.1873332534	16233037.29
72	0.185312265	16056687.63
73	0.1830019559	15869031.75
74	0.1808093665	15685552.75
75	0.1793410715	15563070.41
76	0.1782264322	15475433.28
77	0.1768267193	15343190.84
78	0.1753663941	15201408.1
79	0.1739212412	15090086.58
80	0.1724425151	14913534.3
81	0.1707769499	14800094.07
82	0.1687817206	14569757.28
83	0.1672817846	14399533.32
84	0.1665443529	14360979.15
85	0.165020835	14232983.59
86	0.1631812916	14011560.44
87	0.1609390485	13799837.66
88	0.1596566146	13745282.13
89	0.1583609161	13641184.83
90	0.1570974541	13551100.9
91	0.1560788881	13464513.56
92	0.1547180007	13317569.46
93	0.1534752483	13163328.09
94	0.1525594619	13013937.65
95	0.1512577626	12888582.08
96	0.1499893085	12741719.09
97	0.1499744819	12666385.93
98	0.1485288372	12484213.78
99	0.147053366	12322882.97
100	0.1457871163	12255156.31
101	0.1447030799	12119055.19
102	0.1435730277	11993701.83
103	0.1424112895	11846245.1
104	0.1407856207	11725453.11
105	0.139765681	11596983.36
106	0.1390813451	11493866.1
107	0.1380171184	11383774.62
108	0.1371106875	11302966.23
109	0.1362635859	11250470.63
110	0.135716949	11190013
111	0.1346936495	11051011.3
112	0.1337537182	10948999.93
113	0.1327220085	10850607.68
114	0.1317282784	10717752.37
115	0.1306674381	10591539.44
116	0.1298113413	10489235.8
117	0.1289908489	10387462.06
118	0.1281623857	10346237.1
119	0.1272590823	10236724.52
120	0.1264042201	10181035.07
121	0.125486603	10096309.54
122	0.1248620476	10001378.15
123	0.124785419	9995555.883
124	0.1240752558	9899109.826
125	0.1233055322	9807376.155
126	0.1225474058	9717434.474
127	0.1214501914	9596063.101
128	0.1201717755	9479939.201
129	0.1194888418	9393562.792
130	0.1186431387	9301368.717
131	0.1180656284	9268357.632
132	0.1174207064	9186773.059
133	0.1165928494	9115813.415
134	0.1158473124	9024636.722
135	0.1153135161	8956825.612
136	0.1144948317	8906228.26
137	0.114051867	8879008.067
138	0.1134440875	8854911.019
139	0.1128765946	8788045.326
140	0.1121796524	8733527.615
141	0.1116682518	8709198.124
142	0.1109771566	8629492.572
143	0.1106341295	8613855.908
144	0.1102654823	8605267.05
145	0.1096031641	8519025.235
146	0.1088942632	8435746.087
147	0.1082846666	8366150.255
148	0.1087347575	8329836.629
149	0.1081314761	8272695.418
150	0.1072248293	8215994.245
151	0.106682296	8154064.326
152	0.106083868	8111489.097
153	0.1053840068	8041024.871
154	0.1046456467	7976937.743
155	0.103939397	7900429.417
156	0.1035316867	7844817.831
157	0.1030171263	7789263.384
158	0.1025890663	7735694.219
159	0.1021440738	7712891.956
160	0.1015607767	7687726.11
161	0.1010438542	7648992.287
162	0.1005471563	7590098.235
163	0.1002360163	7562146.245
164	0.09990553934	7518429.952
165	0.09935049798	7470284.593
166	0.09916482889	7439860.178
167	0.09851314885	7379613.719
168	0.0980859957	7332295.21
169	0.0975150004	7269817.918
170	0.09688909833	7252274.853
171	0.09608004968	7217519.472
172	0.09573882827	7203028.887
173	0.09525594802	7169002.994
174	0.09474312214	7126000.692
175	0.09451171294	7099795.229
176	0.09383455108	7080388.219
177	0.09358354921	7074963.853
178	0.09328866947	7036590.179
179	0.09314020236	7005970.993
180	0.09309691061	7004710.367
181	0.09285440301	6962620.605
182	0.09260174997	6956877.771
183	0.09234218668	6950008.557
184	0.09208127202	6942939.267
185	0.09182981946	6910065.776
186	0.09156917069	6893972.517
187	0.09134932527	6857763.214
188	0.09071888808	6833045.839
189	0.09053725006	6826993.122
190	0.0900715155	6769276.047
191	0.08965072901	6754147.74
192	0.08934189137	6723629.54
193	0.08900982506	6685795.079
194	0.08880569326	6676654.82
195	0.08858088516	6657265.739
196	0.08834449854	6645291.513
197	0.08775455575	6612050.259
198	0.08746040306	6586775.305
199	0.08735917832	6571716.837
200	0.0871564625	6563575.989
201	0.08696849932	6541166.352
202	0.0866578809	6526673.295
203	0.08640268434	6522697.239
204	0.08584048005	6501197.374
205	0.08528566107	6479229.324
206	0.08477955763	6451111.064
207	0.0841942895	6414103.26
208	0.0837560499	6396723.17
209	0.08353722794	6380571.456
210	0.08325969964	6374672.571
