iter	Passed	Remaining
0	2	4353
1	5	3817
2	7	3617
3	9	3609
4	11	3476
5	13	3383
6	16	3450
7	18	3421
8	20	3435
9	23	3482
10	26	3559
11	28	3508
12	31	3611
13	33	3605
14	36	3582
15	38	3566
16	40	3561
17	43	3549
18	45	3532
19	48	3555
20	50	3537
21	52	3529
22	55	3568
23	58	3587
24	60	3575
25	63	3572
26	65	3555
27	66	3490
28	68	3471
29	71	3492
30	73	3497
31	76	3508
32	79	3538
33	81	3530
34	84	3518
35	86	3535
36	89	3520
37	91	3503
38	93	3506
39	95	3500
40	98	3492
41	100	3504
42	103	3504
43	105	3487
44	107	3479
45	110	3494
46	112	3481
47	114	3471
48	116	3454
49	118	3448
50	121	3440
51	123	3428
52	125	3438
53	128	3429
54	130	3420
55	132	3423
56	134	3415
57	136	3404
58	139	3402
59	142	3411
60	144	3400
61	146	3394
62	148	3383
63	150	3384
64	153	3383
65	155	3380
66	159	3406
67	162	3424
68	165	3430
69	168	3438
70	170	3438
71	174	3452
72	176	3446
73	178	3439
74	182	3461
75	185	3473
76	189	3502
77	192	3514
78	195	3520
79	199	3537
80	201	3537
81	204	3541
82	207	3546
83	210	3544
84	212	3541
85	214	3534
86	217	3527
87	219	3520
88	221	3516
89	223	3508
90	226	3501
91	228	3496
92	230	3492
93	233	3490
94	235	3486
95	238	3482
96	240	3475
97	242	3467
98	244	3463
99	246	3455
100	249	3453
101	252	3465
102	255	3459
103	257	3452
104	259	3449
105	263	3461
106	265	3455
107	268	3455
108	270	3455
109	273	3450
110	275	3447
111	277	3442
112	280	3441
113	282	3436
114	285	3432
115	287	3424
116	289	3425
117	292	3421
118	295	3423
119	297	3416
120	299	3408
121	302	3411
122	304	3406
123	307	3407
124	309	3402
125	311	3395
126	313	3389
127	316	3389
128	318	3387
129	320	3382
130	323	3377
131	325	3375
132	327	3370
133	330	3369
134	333	3372
135	336	3370
136	338	3368
137	340	3363
138	343	3359
139	345	3353
140	347	3346
141	350	3348
142	352	3343
143	354	3338
144	357	3337
145	360	3339
146	362	3334
147	364	3329
148	366	3324
149	369	3322
150	371	3316
151	373	3313
152	375	3309
153	378	3304
154	380	3302
155	382	3297
156	384	3292
157	387	3291
158	390	3292
159	392	3290
160	395	3285
161	397	3282
162	399	3278
163	401	3274
164	404	3270
165	406	3267
166	408	3264
167	411	3262
168	413	3260
169	416	3255
170	418	3249
171	420	3247
172	422	3241
173	424	3235
174	426	3230
175	428	3226
176	431	3224
177	433	3219
178	435	3214
179	437	3211
180	440	3207
181	442	3203
182	445	3202
183	447	3198
184	449	3194
185	451	3189
186	453	3186
187	456	3187
188	459	3190
189	462	3186
190	464	3182
191	466	3179
192	469	3176
193	471	3172
194	472	3159
195	474	3154
196	476	3151
197	478	3146
198	480	3140
199	483	3139
200	485	3137
201	487	3134
202	490	3130
203	492	3125
204	494	3121
205	496	3117
206	498	3114
207	501	3112
208	503	3108
209	505	3104
210	508	3103
211	510	3099
212	512	3097
213	514	3093
214	517	3095
215	520	3093
216	522	3090
217	525	3089
218	528	3089
219	530	3085
220	532	3080
221	534	3076
222	537	3075
223	539	3072
224	542	3071
225	544	3068
226	546	3064
227	548	3060
228	550	3056
229	552	3052
230	555	3053
231	558	3051
232	560	3048
233	562	3045
234	565	3045
235	567	3041
236	570	3039
237	572	3036
238	574	3031
239	576	3029
240	579	3029
241	582	3028
242	584	3025
243	587	3024
244	589	3022
245	592	3019
246	594	3016
247	596	3013
248	599	3009
249	601	3006
250	603	3003
251	605	2999
252	607	2994
253	609	2990
254	612	2988
255	614	2984
256	616	2981
257	618	2978
258	621	2975
259	623	2971
260	625	2969
261	628	2967
262	630	2964
263	632	2961
264	634	2958
265	637	2957
266	639	2952
267	641	2950
268	644	2948
269	646	2944
270	648	2940
271	651	2939
272	653	2937
273	655	2934
274	657	2930
275	660	2928
276	662	2925
277	664	2921
278	667	2922
279	669	2918
280	671	2914
281	674	2911
282	676	2909
283	678	2907
284	681	2903
285	683	2899
286	685	2896
287	687	2894
288	690	2892
289	692	2890
290	694	2886
291	696	2882
292	699	2880
293	701	2878
294	703	2875
295	706	2871
296	708	2870
297	711	2868
298	713	2865
299	716	2864
300	718	2862
301	721	2861
302	723	2858
303	725	2855
304	727	2851
305	730	2849
306	733	2849
307	735	2846
308	737	2844
309	740	2840
310	742	2837
311	744	2833
312	746	2830
313	748	2828
314	751	2825
315	753	2821
316	755	2818
317	757	2816
318	760	2814
319	762	2812
320	765	2811
321	767	2807
322	769	2804
323	771	2801
324	774	2798
325	776	2795
326	778	2792
327	781	2791
328	783	2788
329	785	2785
330	788	2783
331	790	2781
332	793	2779
333	795	2776
334	797	2773
335	799	2770
336	801	2766
337	804	2765
338	807	2764
339	809	2762
340	812	2761
341	814	2758
342	816	2754
343	818	2752
344	821	2749
345	823	2746
346	825	2743
347	828	2743
348	830	2739
349	832	2736
350	836	2737
351	838	2734
352	840	2731
353	843	2729
354	845	2727
355	847	2724
356	850	2723
357	854	2725
358	857	2724
359	859	2721
360	861	2718
361	863	2715
362	866	2713
363	868	2710
364	870	2708
365	873	2705
366	875	2703
367	877	2700
368	880	2698
369	882	2695
370	885	2693
371	887	2690
372	889	2686
373	891	2685
374	894	2682
375	896	2679
376	898	2676
377	900	2673
378	902	2670
379	905	2667
380	907	2665
381	910	2663
382	912	2660
383	914	2657
384	917	2657
385	919	2654
386	922	2651
387	924	2650
388	926	2647
389	929	2645
390	931	2642
391	933	2639
392	935	2636
393	938	2633
394	940	2631
395	943	2629
396	945	2627
397	948	2626
398	950	2623
399	953	2623
400	956	2621
401	959	2620
402	961	2617
403	964	2615
404	966	2612
405	968	2608
406	970	2607
407	973	2605
408	975	2601
409	977	2599
410	980	2596
411	982	2593
412	984	2591
413	987	2590
414	990	2588
415	992	2587
416	995	2584
417	997	2582
418	1000	2580
419	1002	2577
420	1004	2575
421	1007	2573
422	1009	2570
423	1011	2568
424	1014	2566
425	1017	2565
426	1022	2568
427	1025	2568
428	1029	2569
429	1033	2571
430	1036	2571
431	1040	2572
432	1046	2577
433	1049	2577
434	1053	2579
435	1057	2581
436	1062	2583
437	1064	2581
438	1068	2583
439	1071	2580
440	1074	2579
441	1078	2581
442	1081	2580
443	1085	2581
444	1087	2578
445	1090	2576
446	1093	2576
447	1097	2576
448	1100	2576
449	1102	2573
450	1105	2570
451	1108	2570
452	1111	2568
453	1113	2566
454	1118	2568
455	1121	2567
456	1127	2572
457	1130	2572
458	1134	2572
459	1136	2569
460	1140	2570
461	1142	2567
462	1145	2565
463	1149	2566
464	1152	2564
465	1158	2569
466	1162	2570
467	1165	2569
468	1167	2566
469	1170	2565
470	1174	2565
471	1178	2567
472	1182	2566
473	1184	2564
474	1188	2564
475	1191	2562
476	1193	2560
477	1196	2558
478	1199	2556
479	1202	2556
480	1205	2554
481	1209	2553
482	1211	2551
483	1214	2549
484	1217	2547
485	1219	2544
486	1222	2542
487	1224	2539
488	1226	2535
489	1229	2533
490	1231	2530
491	1233	2528
492	1236	2524
493	1238	2521
494	1240	2519
495	1242	2516
496	1245	2513
497	1247	2510
498	1250	2509
499	1253	2507
500	1255	2504
501	1258	2501
502	1260	2498
503	1262	2494
504	1264	2492
505	1267	2488
506	1269	2485
507	1271	2483
508	1274	2480
509	1276	2478
510	1278	2475
511	1281	2471
512	1283	2469
513	1285	2466
514	1288	2464
515	1291	2463
516	1293	2459
517	1296	2457
518	1298	2454
