iter	MAPE	MAE
0	0.9591472533	46472352.95
1	0.9274664724	45452035.89
2	0.8968159126	44553556.6
3	0.863106357	43491982.88
4	0.8305809283	42677501.12
5	0.8033068809	41689203.11
6	0.7769426679	40719668.74
7	0.7519482885	39898341.62
8	0.7282121166	39008962.53
9	0.7043829725	38322010.84
10	0.6813198725	37615403.12
11	0.6623928213	36947429.58
12	0.6425132102	36283264.44
13	0.6237733268	35572979.49
14	0.6041534301	35034702.92
15	0.5858832986	34525433.79
16	0.5702019643	33947507.14
17	0.5530579346	33423857.51
18	0.5359541901	32896596.83
19	0.5186825102	32390788.02
20	0.5027494227	31898859.11
21	0.4871300421	31433576.08
22	0.4726841476	30976968.29
23	0.4585229246	30358718.37
24	0.4452882416	29951701.42
25	0.4331910683	29589048.31
26	0.4215833755	29247624.05
27	0.4108860279	28713250.02
28	0.3997140967	28260232.41
29	0.3887018484	27851904.57
30	0.3783375607	27422038.54
31	0.3689637362	27080114.35
32	0.3604444604	26697796
33	0.3521118483	26442299.13
34	0.3430251601	25960052.01
35	0.3344423463	25611493.54
36	0.3273485585	25326716.93
37	0.3210317269	25068888.38
38	0.3149882618	24823562.55
39	0.3096125504	24583782.33
40	0.3023138429	24165900.8
41	0.2955104148	23802612.65
42	0.2909923167	23569628.01
43	0.2865240909	23377190.53
44	0.2811918829	23123423.35
45	0.2758824755	22821479.2
46	0.2712598279	22399189.32
47	0.2666795271	22154230.45
48	0.2625349597	21943077.47
49	0.2580453458	21603535.67
50	0.2538526884	21294816.73
51	0.2506194687	21121641.34
52	0.2468512811	20862762.78
53	0.2437035325	20633265.48
54	0.2401264042	20351335.01
55	0.2362740919	20003232.25
56	0.2326381034	19678163.64
57	0.229449134	19371279.57
58	0.2265825636	19116953.15
59	0.2242502003	18944070.88
60	0.2219422935	18741756.8
61	0.2199316885	18627456.3
62	0.2173227494	18359821.47
63	0.2150857098	18109808.84
64	0.2126067112	17874987.46
65	0.210836852	17682717.04
66	0.2090100023	17513521.13
67	0.207097319	17311850.32
68	0.2060336731	17182570.14
69	0.2043911294	16932510.64
70	0.2028101493	16793639.19
71	0.2010654267	16605418.58
72	0.1995055735	16394450.55
73	0.1977164363	16183476.99
74	0.1963780634	16025856.7
75	0.194966062	15818697
76	0.1937468831	15646839.07
77	0.1925959724	15468746.48
78	0.1916276515	15324795.28
79	0.1900950292	15148143.34
80	0.1893010053	15078107.56
81	0.1882752043	14912892.66
82	0.1874292845	14849019.02
83	0.1868968889	14758622.03
84	0.1862060943	14688441.12
85	0.1850282093	14545958.79
86	0.1839511862	14400630.92
87	0.1830929676	14257679.58
88	0.1822969357	14128460.97
89	0.1813242205	14000594.8
90	0.1802329565	13841334.85
91	0.179695723	13782408.1
92	0.1790303946	13668408.51
93	0.1782082274	13543854.85
94	0.1776955069	13483756.03
95	0.1772818	13407146.05
96	0.1764794735	13323104.3
97	0.1757385645	13210249.68
98	0.1753129387	13133550.76
99	0.1747546699	13020323.52
100	0.1742388121	12930984.31
101	0.1736617366	12856601.35
102	0.1730834756	12774026.48
103	0.1725400742	12683937.4
104	0.172065749	12609321.67
105	0.1717224044	12563964.36
106	0.1713238903	12545931
107	0.1707239567	12509087.13
108	0.1702147829	12436863.95
109	0.1697907668	12394634.27
110	0.1694403622	12365747.13
111	0.1690565055	12291929.98
112	0.168709783	12227450.4
113	0.1682074749	12126433.88
114	0.1679047536	12053653.63
115	0.1675928581	11999067.13
116	0.1671455831	11939990.81
117	0.1666309977	11878440.08
